EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
251362678, 139.34167, 22.129421, 18.126, GO16012_LC|GO16018_LC
251364084, 138.064998, 22.238585, 17.253, GO16012_LC|GO16018_LC
251365679, 137.269758, 22.357634, 17.56, GO16012_LC|GO16018_LC
251385331, 137.54245, 23.829952, 15.747, GO16012_LC|GO16018_LC
251394129, 137.229502, 24.425194, 18.907, GO16012_LC|GO16018_LC|GO16067_LC
251394211, 138.188497, 24.430386, 18.365, GO16012_LC|GO16018_LC|GO16067_LC
251394863, 136.489489, 24.471724, 18.194, GO16012_LC|GO16018_LC|GO16067_LC
251395427, 137.144694, 24.507771, 18.017, GO16012_LC|GO16018_LC|GO16067_LC
251396437, 134.912393, 24.57391, 17.444, GO16012_LC|GO16018_LC
251397724, 138.166891, 24.650553, 16.964, GO16012_LC|GO16018_LC|GO16067_LC
251402226, 136.922652, 24.916964, 17.954, GO16012_LC|GO16018_LC
251403541, 138.396684, 24.994251, 17.979, GO16012_LC|GO16018_LC|GO16067_LC
251404208, 137.707351, 25.03162, 17.721, GO16012_LC|GO16018_LC|GO16067_LC
251405376, 135.862108, 25.097836, 17.689, GO16012_LC|GO16018_LC|GO16067_LC
251406926, 134.901977, 25.185841, 18.135, GO16012_LC|GO16018_LC|GO16067_LC
251407310, 136.602592, 25.210575, 17.824, GO16012_LC|GO16018_LC|GO16067_LC
251408963, 133.298608, 25.30171, 17.827, GO16012_LC|GO16018_LC|GO16067_LC
212090371, 135.097968, 21.834477, 11.981, GO16005_LC|GO16018_LC|GO16030_LC|GO16052_LC|GO16056_LC|GO16063_LC|GO16072_LC|GO16072_SC
203806838, 246.902548, -24.860025, 18.526, GO2045_LC|GO2114_LC|GO2044_SC
204120066, 242.127038, -23.58638, 16.33, GO2010_LC|GO2045_LC|GO2047_LC|GO2085_LC|GO2092_LC|GO2114_LC|GO2044_SC
204179868, 241.811588, -23.350307, 18.307, GO2045_LC|GO2085_LC|GO2092_LC|GO2044_SC
204371512, 242.197685, -22.596609, 17.325, GO2010_LC|GO2045_LC|GO2047_LC|GO2085_LC|GO2092_LC|GO2114_LC|GO2044_SC
